Episode: 59, Epsilon: 0.7477194593032545, Episode Reward: -197696.0018070782, Mean Loss: 1.9502407848412986
Episode: 60, Epsilon: 0.7439808620067382, Episode Reward: -191094.55335593017, Mean Loss: 2.4204787953822233
Episode: 61, Epsilon: 0.7402609576967045, Episode Reward: -189307.94064946726, Mean Loss: 1.775669292065686
Episode: 62, Epsilon: 0.736559652908221, Episode Reward: -182054.75334575833, Mean Loss: 1.9421310500638356
Episode: 63, Epsilon: 0.7328768546436799, Episode Reward: -179812.0670132657, Mean Loss: 1.7805882171629719
Episode: 64, Epsilon: 0.7292124703704616, Episode Reward: -177119.23911171386, Mean Loss: 1.9838095265076845
Episode: 65, Epsilon: 0.7255664080186093, Episode Reward: -180787.73524548823, Mean Loss: 2.2790075049506413
Episode: 66, Epsilon: 0.7219385759785162, Episode Reward: -166325.72685844835, Mean Loss: 2.058313960438795
Episode: 67, Epsilon: 0.7183288830986236, Episode Reward: -172264.79135461804, Mean Loss: 2.2490465265096873
Episode: 68, Epsilon: 0.7147372386831305, Episode Reward: -170193.25715239625, Mean Loss: 2.370634062341196
Episode: 69, Epsilon: 0.7111635524897149, Episode Reward: -159764.40719827934, Mean Loss: 2.0124274123299983
Episode: 70, Epsilon: 0.7076077347272662, Episode Reward: -165530.3201358939, Mean Loss: 2.137034058894642
